Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,1961,1961,ha,6857000,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,1962,1962,ha,7283000,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,1963,1963,ha,6731000,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,1964,1964,ha,6980000,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,1965,1965,ha,7327000,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,1966,1966,ha,7691000,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,1967,1967,ha,7516000,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,1968,1968,ha,8020770,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,1969,1969,ha,8013620,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,1970,1970,ha,8135080,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,1971,1971,ha,8324320,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,1972,1972,ha,7897640,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,1973,1973,ha,8403600,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,1974,1974,ha,8508600,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,1975,1975,ha,8495100,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,1976,1976,ha,8368760,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,1977,1977,ha,8359570,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,1978,1978,ha,8929170,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,1979,1979,ha,8803564,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,1980,1980,ha,9005065,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,1981,1981,ha,9381839,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,1982,1982,ha,8988455,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,1983,1983,ha,9162469,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,1984,1984,ha,9763580,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,1985,1985,ha,9902293,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,1986,1986,ha,9988453,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,1987,1987,ha,9922594,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,1988,1988,ha,10138155,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,1989,1989,ha,10531207,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,1990,1990,ha,10502357,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,1991,1991,ha,10281519,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,1992,1992,ha,11103317,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,1993,1993,ha,11012780,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,1994,1994,ha,10733800,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,1995,1995,ha,11438760,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,1996,1996,ha,11569729,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,1997,1997,ha,11140594,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,1998,1998,ha,11730200,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,1999,1999,ha,11963204,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,2000,2000,ha,11793000,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,2001,2001,ha,11500000,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,2002,2002,ha,11521166,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,2003,2003,ha,11477357,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,2004,2004,ha,11922974,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,2005,2005,ha,11839060,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,2006,2006,ha,11786430,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,2007,2007,ha,11748000,E,Estimated value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,2008,2008,ha,11728000,E,Estimated value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,2009,2009,ha,11778000,E,Estimated value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,2010,2010,ha,11797000,E,Estimated value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,2011,2011,ha,11653000,E,Estimated value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,2012,2012,ha,11591000,E,Estimated value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,2013,2013,ha,11631000,E,Estimated value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,2014,2014,ha,11473000,E,Estimated value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,2015,2015,ha,11389000,E,Estimated value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,2016,2016,ha,10600000,E,Estimated value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,2017,2017,ha,10900000,E,Estimated value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,2018,2018,ha,11377934,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,2019,2019,ha,10677887,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,2020,2020,ha,10657275,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,2021,2021,ha,10411801,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,2022,2022,ha,10452672,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,2023,2023,ha,10213705,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,2024,2024,ha,10046135,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1961,1961,t,12084000,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1962,1962,t,13004000,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1963,1963,t,11595000,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1964,1964,t,12306000,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1965,1965,t,12975000,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1966,1966,t,13650000,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1967,1967,t,13222000,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1968,1968,t,17162800,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1969,1969,t,18020200,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1970,1970,t,19331000,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1971,1971,t,20190000,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1972,1972,t,19393600,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1973,1973,t,21489500,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1974,1974,t,22473008,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1975,1975,t,22339200,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1976,1976,t,23300944,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1977,1977,t,23347136,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1978,1978,t,25771600,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1979,1979,t,26282656,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1980,1980,t,29651904,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1981,1981,t,32774176,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1982,1982,t,33583696,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1983,1983,t,35303008,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1984,1984,t,38136448,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1985,1985,t,39032944,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1986,1986,t,39726768,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1987,1987,t,40078192,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1988,1988,t,41676176,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1989,1989,t,44725584,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1990,1990,t,45178752,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1991,1991,t,44688240,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1992,1992,t,48240008,A,Official value,
